mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	0
1	1	0	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	0
1	1	1/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	1
1	1	1/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	1
1	1	1	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	60	C4	4	2
1	1	1	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	2
1	1	3/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	3
1	1	3/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	3
2	2	2	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	4
2	2	2	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	4
2	2	5/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	5
2	2	5/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	5
2	2	3	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	60	C4	4	6
2	2	3	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	6
2	2	7/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	7
2	2	7/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	7
3	3	4	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	8
3	3	4	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	8
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	9
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	9
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	60	C4	4	10
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	10
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	11
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	11
4	4	6	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	12
4	4	6	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	12
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	13
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	13
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	60	C4	4	14
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	14
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	15
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	15
5	5	8	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	28
5	5	8	0.16666666666666666	0	0	2/4	1	1	1/24	1/16	2/3		2	62	D4	4	16
5	5	8	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	28
5	5	49/6	0.16666666666666666	1/24	1/24	2/4	1	1	1/24	1/16	2/3		4	64	E4	4	17
5	5	25/3	0.16666666666666666	1/12	1/12	2/4	1	1	1/24	1/16	2/3		-1	65	F4	4	18
5	5	17/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	29
5	5	17/2	0.16666666666666666	1/8	1/8	2/4	1	1	1/24	1/16	2/3		2	62	D4	4	19
5	5	17/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	29
5	5	26/3	0.16666666666666666	1/6	1/6	2/4	1	1	1/24	1/16	2/3		4	64	E4	4	20
5	5	53/6	0.16666666666666666	5/24	5/24	2/4	1	1	1/24	1/16	2/3		-1	65	F4	4	21
5	5	9	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	60	C4	4	30
5	5	9	0.16666666666666666	1/4	1/4	2/4	1	1	1/24	1/16	2/3		2	62	D4	4	22
5	5	9	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	30
5	5	55/6	0.16666666666666666	7/24	7/24	2/4	1	1	1/24	1/16	2/3		4	64	E4	4	23
5	5	28/3	0.16666666666666666	1/3	1/3	2/4	1	1	1/24	1/16	2/3		-1	65	F4	4	24
5	5	19/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	31
5	5	19/2	0.16666666666666666	3/8	3/8	2/4	1	1	1/24	1/16	2/3		2	62	D4	4	25
5	5	19/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	31
5	5	29/3	0.16666666666666666	5/12	5/12	2/4	1	1	1/24	1/16	2/3		4	64	E4	4	26
5	5	59/6	0.16666666666666666	11/24	11/24	2/4	1	1	1/24	1/16	2/3		-1	65	F4	4	27
6	6	10	0.5	0	0	2/4	2	1	1/8	1/8	1		0	60	C4	4	44
6	6	10	0.16666666666666666	0	0	2/4	1	1	1/24	1/16	2/3		2	62	D4	4	32
6	6	10	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	44
6	6	61/6	0.16666666666666666	1/24	1/24	2/4	1	1	1/24	1/16	2/3		4	64	E4	4	33
6	6	31/3	0.16666666666666666	1/12	1/12	2/4	1	1	1/24	1/16	2/3		-1	65	F4	4	34
6	6	21/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60	C4	4	45
