mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	4/4	2	1	1/8		1/8	1		1	67	G4	4	0
1	1	0	4.0	0	0	4/4	2	2	1		1	1		1	67	G4	4	8
1	1	1/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	1
1	1	1	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	2
1	1	3/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	3
1	1	2	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-7	59	Cb4	4	4
1	1	5/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	5
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	6
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	7
2	2	4	0.5	0	0	4/4	2	1	1/8		1/8	1		1	67	G4	4	9
2	2	4	4.0	0	0	4/4	2	2	1		1	1		1	67	G4	4	17
2	2	9/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	10
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	11
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	12
2	2	6	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-7	59	Cb4	4	13
2	2	13/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	14
2	2	7	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	15
2	2	15/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	16
3	3	8	0.5	0	0	4/4	2	1	1/8		1/8	1		1	67	G4	4	47
3	3	8	0.16666666666666666	0	0	4/4	1	2	1/24		1/16	2/3		3	81	A5	5	23
3	3	8	0.5	0	0	4/4	1	1	1/8		1/8	1		3	81	A5	5	18
3	3	49/6	0.16666666666666666	1/24	1/24	4/4	1	2	1/24		1/16	2/3		1	79	G5	5	24
3	3	25/3	0.16666666666666666	1/12	1/12	4/4	1	2	1/24		1/16	2/3		-1	77	F5	5	25
3	3	17/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	48
3	3	17/2	0.16666666666666666	1/8	1/8	4/4	1	2	1/24		1/16	2/3		9	75	D#5	5	26
3	3	17/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		5	83	B5	5	19
3	3	26/3	0.16666666666666666	1/6	1/6	4/4	1	2	1/24		1/16	2/3		7	73	C#5	5	27
3	3	53/6	0.16666666666666666	5/24	5/24	4/4	1	2	1/24		1/16	2/3		5	71	B4	4	28
3	3	9	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	49
3	3	9	0.16666666666666666	1/4	1/4	4/4	1	2	1/24		1/16	2/3		3	69	A4	4	29
3	3	9	0.75	1/4	1/4	4/4	1	1	3/16		1/8	3/2		7	85	C#6	6	20
3	3	55/6	0.16666666666666666	7/24	7/24	4/4	1	2	1/24		1/16	2/3		5	71	B4	4	30
3	3	28/3	0.16666666666666666	1/3	1/3	4/4	1	2	1/24		1/16	2/3		7	73	C#5	5	31
3	3	19/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	50
3	3	19/2	0.16666666666666666	3/8	3/8	4/4	1	2	1/24		1/16	2/3		9	75	D#5	5	32
3	3	29/3	0.16666666666666666	5/12	5/12	4/4	1	2	1/24		1/16	2/3		-1	77	F5	5	33
3	3	39/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		9	87	D#6	6	21
3	3	59/6	0.16666666666666666	11/24	11/24	4/4	1	2	1/24		1/16	2/3		1	79	G5	5	34
3	3	10	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		3	57	A3	3	55
3	3	10	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-7	59	Cb4	4	51
3	3	10	0.16666666666666666	1/2	1/2	4/4	1	2	1/24		1/16	2/3		3	81	A5	5	35
3	3	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	83	B5	5	22
3	3	61/6	0.16666666666666666	13/24	13/24	4/4	1	2	1/24		1/16	2/3		1	79	G5	5	36
3	3	31/3	0.16666666666666666	7/12	7/12	4/4	1	2	1/24		1/16	2/3		-1	77	F5	5	37
3	3	21/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-5	61	Db4	4	52
3	3	21/2	0.16666666666666666	5/8	5/8	4/4	1	2	1/24		1/16	2/3		9	75	D#5	5	38
3	3	32/3	0.16666666666666666	2/3	2/3	4/4	1	2	1/24		1/16	2/3		7	73	C#5	5	39
3	3	65/6	0.16666666666666666	17/24	17/24	4/4	1	2	1/24		1/16	2/3		5	71	B4	4	40
3	3	11	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	53
3	3	11	0.16666666666666666	3/4	3/4	4/4	1	2	1/24		1/16	2/3		3	69	A4	4	41
3	3	67/6	0.16666666666666666	19/24	19/24	4/4	1	2	1/24		1/16	2/3		5	71	B4	4	42
3	3	34/3	0.16666666666666666	5/6	5/6	4/4	1	2	1/24		1/16	2/3		7	73	C#5	5	43
3	3	23/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	54
3	3	23/2	0.16666666666666666	7/8	7/8	4/4	1	2	1/24		1/16	2/3		9	75	D#5	5	44
3	3	35/3	0.16666666666666666	11/12	11/12	4/4	1	2	1/24		1/16	2/3		-1	77	F5	5	45
3	3	71/6	0.16666666666666666	23/24	23/24	4/4	1	2	1/24		1/16	2/3		1	79	G5	5	46
4	4	12	0.5	0	0	4/4	2	1	1/8		1/8	1		1	67	G4	4	85
