fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	pdf	typesetter	comments	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l087-01_images_lent	1: 3/4, 21: 4/4, 22: 3/4	1: 3, 32: 6	57	57	172.0	57	57	172.0	968.33	1229	354	0	0	0	1894	1894	Claude Debussy	1							Public Domain	2021-02-23		Microsoft Windows	http://musescore.com/user/27291303/scores/6630747		Images oubliées	1		C. Debussy	3.6.2	1.2.4	MS3	MS3/l087-01_images_lent.mscx	False	26-97 (D1-C#7)	https://imslp.org/wiki/Special:ReverseLookup/276950	https://musescore.com/user/27291303		Piano	48-97 (B#2-C#7)	Piano	26-90 (D1-F#6)		
l087-02_images_souvenir	1: 3/4	1: 4	72	72	216.0	72	72	216.0	1367.0	1659	344	0	0	0	1894	1894	Claude Debussy	Images								2022-02-06		Microsoft Windows			2	"Dans le mouvement d'une ""Sarabande"", c'est-à-dire avec une élégance
grâve et lente, même un peu vieux portrait, souvenir du Louvre, etc."			3.6.2	1.2.4	MS3	MS3/l087-02_images_souvenir.mscx	False	23-88 (B0-E6)	https://imslp.org/wiki/Special:ReverseLookup/276950	tunescribers.com		Piano	49-88 (C#3-E6)	Piano	23-76 (B0-E5)		
l087-03_images_quelques	1: 4/4, 75: 6/4, 90: 3/4, 91: 6/8	1: -1, 64: 5, 91: 2	186	186	677.0	186	186	677.0	2441.25	2846	1511	0	0	0	1894	1894	Claude Debussy	3								2022-02-06		Microsoft Windows			3				3.6.2	1.2.4	MS3	MS3/l087-03_images_quelques.mscx	False	26-94 (D1-A#6)	https://imslp.org/wiki/Special:ReverseLookup/276950	tunescribers.com		Piano	37-94 (C#2-A#6)	Piano	26-87 (D1-D#6)		
l110-01_images_reflets	1: 4/8, 11: 3/8, 12: 4/8	1: -5, 49: 0, 57: -3, 66: 3, 70: -5	95	95	189.5	95	95	189.5	863.5	2060	1291	0	0	0	1904	1904	Claude Debussy	Images I Reflets dans l'eau						www.sheetmusiclibrary.website	www.sheetmusiclibrary.website	2021-03-27			http://musescore.com/user/7854941/scores/6800569		Images I (L. 110)	1. Reflets dans l'eau.	www.sheetmusiclibrary.website	Claude Debussy	3.6.2	1.2.4	MS3	MS3/l110-01_images_reflets.mscx	False	24-96 (C1-C7)		https://musescore.com/sheetmusiclibrary		Piano	49-96 (Db3-C7)	Piano	24-93 (C1-A6)		
l110-02_images_hommage	1: 3/2, 11: 4/2, 12: 3/2, 16: 1/2, 17: 3/2, 42: 2/2, 43: 3/2	1: 5, 51: 0, 57: 5	76	76	452.0	76	76	452.0	3091.75	2076	587	0	0	0	1904	1904	Claude Debussy	Hommage à Rameau								2019-09-08	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5715607		Hommage à Rameau	Images		Claude Debussy	3.6.2	1.2.4	MS3	MS3/l110-02_images_hommage.mscx	False	24-99 (C1-D#7)		https://musescore.com/user/4887176		Piano	44-99 (G#2-D#7)	Piano	24-93 (C1-A6)		
l110-03_images_mouvement	1: 2/4	1: 0, 67: 2, 115: 0	177	177	354.0	177	177	354.0	1500.0	3482	2032	0	0	0	1905	1905	Claude Debussy	Mouvement (III)								2019-10-18	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5835723		Mouvement (III)	Images		Claude Debussy	3.6.2	1.2.4	MS3	MS3/l110-03_images_mouvement.mscx	False	24-92 (C1-G#6)		https://musescore.com/user/4887176		Piano	52-92 (E3-G#6)	Piano	24-86 (C1-D6)		
l111-01_images_cloches	1: 4/4, 9: 2/4, 10: 4/4, 11: 2/4, 12: 4/4, 15: 2/4, 17: 4/4, 24: 12/8, 41: 4/4	1: 0, 25: 4, 41: 0	50	49	224.0	50	49	224.0	1100.98	1792	1102	0	0	0	1907	1907										2022-02-07		Microsoft Windows			"<i><font size=""19""/>à Alexandre Charpentier</i>"				3.6.2	1.2.4	MS3	MS3/l111-01_images_cloches.mscx	False	28-94 (E1-Bb6)				Piano	50-94 (D3-Bb6)	Piano	28-91 (E1-G6)	Piano	28-79 (E1-G5)
l111-02_images_lune	1: 4/4	1: 1	57	57	228.0	57	57	228.0	1362.58	1345	393	0	0	0	1907	1907	Claude Debussy	Et la lune descend sur le temple qui fut (2)	2	Images (Deuxième Série) 					Oli 2020	2020-06-14	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6207140		Et la lune descend sur le temple qui fut 	Images (Deuxième Série); 2		Claude Debussy	3.6.2	1.2.4	MS3	MS3/l111-02_images_lune.mscx	False	26-95 (D1-B6)		https://musescore.com/user/4887176		Grand Piano	59-95 (B3-B6)	Grand Piano	47-95 (B2-B6)	Grand Piano	26-81 (D1-A5)
l111-03_images_poissons	1: 3/4	1: 6, 26: -3, 37: 0, 46: 6, 51: 3, 55: 0, 72: -3, 78: 0, 86: 6	106	97	306.5	106	99	306.5	983.33	3248	1832	0	0	0	1907	1907										2022-02-08		Microsoft Windows			"<i><font size=""14""/>à Ricardo Viñes</i>"		"<font size=""16""/>Poissons d'or"		3.6.2	1.2.4	MS3	MS3/l111-03_images_poissons.mscx	False	25-97 (C#1-C#7)	https://imslp.org/wiki/Special:ReverseLookup/256280	tunescribers.com	"b.91 second ""E"" in the middle staff should poss be Enatural? Not marked in source material, but chromatic passage would suggest it. The E nat is written when the passage repeats a beat later, and again at b.93
"	Piano	61-97 (C#4-C#7)	Piano	25-97 (C#1-C#7)	Piano	25-90 (C#1-F#6)
